z[m], Cl
-4.999000, 0.089560
-4.900000, 0.077607
-4.800000, 0.093543
-4.700000, 0.107990
-4.600000, 0.120352
-4.500000, 0.130802
-4.400000, 0.139420
-4.300000, 0.145962
-4.200000, 0.153558
-4.100000, 0.158500
-4.000000, 0.163122
-3.900000, 0.168149
-3.800000, 0.172104
-3.700000, 0.175644
-3.600000, 0.178621
-3.500000, 0.181944
-3.400000, 0.184939
-3.300000, 0.187120
-3.200000, 0.189397
-3.100000, 0.192128
-3.000000, 0.193659
-2.900000, 0.196132
-2.800000, 0.197380
-2.700000, 0.200404
-2.600000, 0.201024
-2.500000, 0.202364
-2.400000, 0.205436
-2.300000, 0.207104
-2.200000, 0.208370
-2.100000, 0.210821
-2.000000, 0.213237
-1.900000, 0.214211
-1.800000, 0.217394
-1.700000, 0.219531
-1.600000, 0.220573
-1.500000, 0.225801
-1.400000, 0.228472
-1.300000, 0.234610
-1.200000, 0.241560
-1.100000, 0.251534
-1.000000, 0.262241
-0.900000, 0.275241
-0.800000, 0.289505
-0.700000, 0.299937
-0.600000, 0.306780
-0.500000, 0.315810
-0.400000, 0.320273
-0.300000, 0.324471
-0.200000, 0.326923
-0.100000, 0.328822
0.000000, 0.327588
0.100000, 0.329830
0.200000, 0.326584
0.300000, 0.324135
0.400000, 0.322033
0.500000, 0.314756
0.600000, 0.309331
0.700000, 0.300287
0.800000, 0.289700
0.900000, 0.276681
1.000000, 0.263779
1.100000, 0.251850
1.200000, 0.241685
1.300000, 0.234818
1.400000, 0.228463
1.500000, 0.225296
1.600000, 0.222353
1.700000, 0.219501
1.800000, 0.216353
1.900000, 0.215037
2.000000, 0.211398
2.100000, 0.210993
2.200000, 0.209009
2.300000, 0.206158
2.400000, 0.205247
2.500000, 0.203361
2.600000, 0.201740
2.700000, 0.200464
2.800000, 0.197317
2.900000, 0.195679
3.000000, 0.194562
3.100000, 0.192112
3.200000, 0.190086
3.300000, 0.186917
3.400000, 0.185458
3.500000, 0.181389
3.600000, 0.178320
3.700000, 0.175190
3.800000, 0.171587
3.900000, 0.168043
4.000000, 0.163876
4.100000, 0.158698
4.200000, 0.153085
4.300000, 0.146791
4.400000, 0.139140
4.500000, 0.130425
4.600000, 0.120021
4.700000, 0.108148
4.800000, 0.094157
4.900000, 0.078260
4.999000, 0.090282
