----------------------------------------------------------------------------------------------------------------------------------
Balance measurements taken with sting-mounted propeller, angle-of-attack sweeps (-0.2 -- +19.8 deg) at 4 advance ratios, 
Re_D = 620,000.

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Propeller thrust coefficient versus angle of attack and advance ratio, including wind-tunnel conditions
Measured: September 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) A CAD model of the sting-mounted propeller setup is attached as Supplemental Data S1.
	 3) The thrust data are defined as difference between blade-on and blade-off measurements to eliminate nacelle forces. 
	    Note that an interference component remains which cannot be accounted for with this approach.
	 4) The measurement data presented in this file were acquired separately from the ones used for the advance-ratio sweeps 
	    at AoA = -0.2 deg. Due to measurement variability the results at AoA = -0.2 deg could vary somewhat between the 2 data 
	    files.
	 5) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
Polar,Run,AoA,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,CT=T/rho*n2*D4
[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-]
1,1,-0.20,40.00,1.1982,296.44,101961.6,169.50,0.9957,0.0153
1,2,0.80,39.99,1.1983,296.43,101965.3,169.48,0.9956,0.0156
1,3,1.80,39.99,1.1983,296.43,101965.4,169.50,0.9955,0.0160
1,4,2.80,40.00,1.1984,296.42,101965.6,169.50,0.9956,0.0166
1,5,3.79,39.99,1.1984,296.41,101966.6,169.52,0.9953,0.0175
1,6,4.80,39.99,1.1984,296.41,101965.9,169.51,0.9955,0.0186
1,7,5.80,39.99,1.1985,296.39,101966.1,169.51,0.9955,0.0196
1,8,6.79,39.99,1.1985,296.40,101966.4,169.53,0.9953,0.0205
1,9,7.80,39.99,1.1984,296.41,101965.6,169.53,0.9954,0.0215
1,10,8.79,39.99,1.1984,296.41,101966.3,169.50,0.9955,0.0227
1,11,9.80,40.00,1.1985,296.40,101966.5,169.50,0.9956,0.0239
1,12,10.79,39.99,1.1984,296.41,101967.1,169.50,0.9955,0.0249
1,13,11.80,39.99,1.1984,296.41,101965.7,169.50,0.9955,0.0260
1,14,12.80,39.99,1.1984,296.41,101967.1,169.51,0.9954,0.0273
1,15,13.80,40.00,1.1984,296.41,101967.5,169.51,0.9957,0.0292
1,16,14.80,40.00,1.1984,296.41,101967.2,169.50,0.9957,0.0313
1,17,15.80,40.00,1.1984,296.42,101966.8,169.50,0.9956,0.0337
1,18,16.80,40.00,1.1983,296.43,101966.1,169.50,0.9957,0.0357
