----------------------------------------------------------------------------------------------------------------------------------
Total-pressure measurements taken with sting-mounted propeller, radial sweeps at 5 advance ratios, AoA = -0.2 deg, phi = 180 deg, 
Re_D = 620,000.

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Total-pressure coefficient CPt = (pT-pInf)/qInf at 0.15R downstream of propeller, including wind-tunnel conditions
Measured: September 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) A CAD model of the sting-mounted propeller setup is attached as Supplemental Data S1.
	 3) The definition of the circumferential angle is as in Fig. 3 of the paper, with the only difference being that the data
	    provided in this file were measured with a sting-mounted setup instead of a wing-mounted setup. The sting was 
	    positioned at the same circumferential position as the wing in Fig. 3 of the paper).
	 4) The propeller-off measurements were only taken in the vicinity of the nacelle. In the rest of the flowfield, the
	    total-pressure coefficient is equal to 1 by definition.
	 5) The total-pressure field in the slipstream of the isolated propeller should be axisymmetric, hence constant in the
	    circumferential direction at a given radial coordinate. This was not fully the case in the experiment, due to a minor
	    misalignment of the test setup in sideslip.
	 6) During the measurements, slight drifts occurred in the propeller rotational speed (max offset approx. 1 Hz). This was
	    corrected for by using calibration measurements in which the RPS was varied slightly around the desired set point, 
	    resulting in linear calibration curves of total pressure vs RPS-delta from the set point. The data provided in this 
	    file are the corrected data (therefore, the RPS is exactly equal to the desired set point at each measurement).
	 7) All results at a constant propeller advance ratio were taken during a single traverse, which was then processed to 
	    extract the data on a polar-coordinate grid (r,phi)
	 8) Propeller-off (blades removed) data are indicated by n = 0 Hz and J = Inf
	 9) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
Polar,	Run,	AoA,	Vinf,	rhoInf,	Tinf,	Pinf,	n,	J=Vinf/nD,	r/R,	phi,	CpT
[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[deg],[-]
1,	1,	-0.20,	39.99,	1.2002,	296.05,	101991.7,0.00,	Inf,		0.3038,	180,	0.9450
1,2,-0.20,39.99,1.2002,296.05,101991.0,0.00,Inf,0.3207,180,0.9965
1,3,-0.20,39.99,1.2002,296.05,101990.9,0.00,Inf,0.3376,180,0.9990
1,4,-0.20,39.99,1.2001,296.05,101990.0,0.00,Inf,0.3544,180,0.9992
1,5,-0.20,40.00,1.2002,296.05,101991.2,0.00,Inf,0.3713,180,0.9991
1,6,-0.20,39.99,1.2001,296.05,101990.0,0.00,Inf,0.3882,180,0.9992
2,1,-0.20,40.00,1.2003,295.99,101984.2,169.50,0.9957,0.3038,180,0.7407
2,2,-0.20,40.00,1.2003,295.99,101984.3,169.50,0.9956,0.3207,180,0.7118
2,3,-0.20,39.98,1.2003,295.99,101985.2,169.50,0.9953,0.3376,180,0.6771
2,4,-0.20,39.98,1.2003,295.99,101985.3,169.50,0.9953,0.3544,180,0.6957
2,5,-0.20,39.99,1.2003,295.99,101985.3,169.50,0.9954,0.3713,180,0.7370
2,6,-0.20,39.99,1.2003,295.99,101985.3,169.50,0.9954,0.3882,180,0.7952
2,7,-0.20,39.98,1.2003,295.99,101985.4,169.50,0.9952,0.4219,180,0.8736
2,8,-0.20,40.00,1.2003,295.99,101985.3,169.50,0.9958,0.4557,180,0.9467
2,9,-0.20,40.00,1.2003,295.99,101985.3,169.50,0.9957,0.4895,180,0.9909
2,10,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9956,0.5232,180,1.0173
2,11,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9956,0.5570,180,1.0340
2,12,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9957,0.5907,180,1.0489
2,13,-0.20,40.00,1.2004,295.98,101986.2,169.50,0.9957,0.6245,180,1.0642
2,14,-0.20,40.00,1.2004,295.98,101986.2,169.50,0.9957,0.6582,180,1.0796
2,15,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9956,0.6920,180,1.0934
2,16,-0.20,40.00,1.2003,295.99,101986.2,169.50,0.9957,0.7257,180,1.1043
2,17,-0.20,40.00,1.2004,295.98,101986.2,169.50,0.9957,0.7595,180,1.1140
