Polar,	Run,	AoA,	Vinf,	rhoInf,	Tinf,	Pinf,		n,	J=Vinf/nD,	r/R,	phi,	CpT
[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[deg],[-]
1,	1,	-0.20,	39.99,	1.2002,	296.05,	101991.7,	0.00,	Inf,		0.3038,	180,	0.9450
1,2,-0.20,39.99,1.2002,296.05,101991.0,0.00,Inf,0.3207,180,0.9965
1,3,-0.20,39.99,1.2002,296.05,101990.9,0.00,Inf,0.3376,180,0.9990
1,4,-0.20,39.99,1.2001,296.05,101990.0,0.00,Inf,0.3544,180,0.9992
1,5,-0.20,40.00,1.2002,296.05,101991.2,0.00,Inf,0.3713,180,0.9991
1,6,-0.20,39.99,1.2001,296.05,101990.0,0.00,Inf,0.3882,180,0.9992
2,1,-0.20,40.00,1.2003,295.99,101984.2,169.50,0.9957,0.3038,180,0.7407
2,2,-0.20,40.00,1.2003,295.99,101984.3,169.50,0.9956,0.3207,180,0.7118
2,3,-0.20,39.98,1.2003,295.99,101985.2,169.50,0.9953,0.3376,180,0.6771
2,4,-0.20,39.98,1.2003,295.99,101985.3,169.50,0.9953,0.3544,180,0.6957
2,5,-0.20,39.99,1.2003,295.99,101985.3,169.50,0.9954,0.3713,180,0.7370
2,6,-0.20,39.99,1.2003,295.99,101985.3,169.50,0.9954,0.3882,180,0.7952
2,7,-0.20,39.98,1.2003,295.99,101985.4,169.50,0.9952,0.4219,180,0.8736
2,8,-0.20,40.00,1.2003,295.99,101985.3,169.50,0.9958,0.4557,180,0.9467
2,9,-0.20,40.00,1.2003,295.99,101985.3,169.50,0.9957,0.4895,180,0.9909
2,10,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9956,0.5232,180,1.0173
2,11,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9956,0.5570,180,1.0340
2,12,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9957,0.5907,180,1.0489
2,13,-0.20,40.00,1.2004,295.98,101986.2,169.50,0.9957,0.6245,180,1.0642
2,14,-0.20,40.00,1.2004,295.98,101986.2,169.50,0.9957,0.6582,180,1.0796
2,15,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9956,0.6920,180,1.0934
2,16,-0.20,40.00,1.2003,295.99,101986.2,169.50,0.9957,0.7257,180,1.1043
2,17,-0.20,40.00,1.2004,295.98,101986.2,169.50,0.9957,0.7595,180,1.1140
2,18,-0.20,40.00,1.2004,295.98,101986.3,169.50,0.9957,0.7932,180,1.1217
2,19,-0.20,40.00,1.2004,295.97,101986.4,169.50,0.9957,0.8270,180,1.1258
2,20,-0.20,40.00,1.2004,295.99,101987.4,169.50,0.9956,0.8608,180,1.1271
2,21,-0.20,39.98,1.2004,295.98,101987.5,169.50,0.9953,0.8776,180,1.1263
2,22,-0.20,39.99,1.2004,295.98,101988.2,169.50,0.9955,0.8945,180,1.1236
2,23,-0.20,39.99,1.2004,295.98,101988.3,169.50,0.9954,0.9114,180,1.1191
2,24,-0.20,39.99,1.2005,295.97,101988.3,169.50,0.9954,0.9283,180,1.1122
2,25,-0.20,40.00,1.2004,295.98,101988.1,169.50,0.9958,0.9451,180,1.1028
2,26,-0.20,40.00,1.2004,295.98,101988.3,169.50,0.9958,0.9620,180,1.0884
