----------------------------------------------------------------------------------------------------------------------------------
Total-pressure measurements in wake of Model II, tip-mounted configuration, CL = 0.5 (AoA = 1.9 deg), J = 0.7 (CT = 0.123), 
Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Total-pressure coefficient CPt = (pT-pInf)/qInf at 1.5c downstream of wing trailing edge, including wind-tunnel 
	       conditions.
Measured: December 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model II are attached as Supplemental Data S3.
	 3) The data are provided for a rectangular grid of Y and Z coordinates. Unavailable datapoints are listed as NaN 
	 4) The data were measured with a wake rake which was traversed through the measurement plane; the final data were
	    obtained by interpolation. The wake rake was traversed in the lateral direction at various z-locations, with
	    some overlap between the different vertical scan planes. In these overlap regions, the results have been 
	    averaged in the interpolation procedure.
	 5) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
Y/s,Z/s,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,CpT
[-],[-],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-]
0.0000,-0.1973,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1932,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1890,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1849,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1767,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1726,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1685,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1644,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1603,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1521,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1479,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1438,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1397,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1356,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1315,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1274,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.1233,NaN,NaN,NaN,NaN,NaN,NaN,NaN
