----------------------------------------------------------------------------------------------------------------------------------
Balance measurements (lift/drag) of Model I, inboard-up configuration (dF = +10 deg), AoA sweep, J sweep, Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: System lift and drag coefficient (including propeller forces), including wind-tunnel conditions.
Measured: December 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model I are attached as Supplemental Data S2.
	 3) As explained in the paper, the inboard-up configuration corresponds to the case with flap setting of +10 deg, the 
	    outboard-up configuration to the case with flap setting of -10 deg. The results for the outboard-up configuration
	    were obtained by flipping the measurement data following Eq. 1 of the paper: AoA_shown = -AoA_meas, 
	    CL_shown = -CL_meas, CD_shown(CL_shown) = CD(-CL_shown).
	 4) Angle-of-attack sweeps were performed at each propeller operating condition considered: prop-off, 
	    J = [1.0,0.9,0.8,0.7]. To avoid hysteresis effects, the sweeps were started at 0 deg, then the AoA was increased up to 
	    +20 deg, then returned to 0 deg, decreased up to -20 deg, and then returned to 0 deg. The repeat measurements at 0 deg 
	    were averaged, and the data are presented in this file in sorted order (negative to positive angle of attack).
	 5) The wind-tunnel fan RPM was adjusted at nonzero angle of attack to correct for the associated drop in freestream 
	    velocity. The correction procedure used for this purpose was not always accurate at the highest angles considered, 
	    leading to slight offsets from the desired value of 40.00 m/s. The impact on the data was verified to be negligible.
	 6) The balance measurements were performed in parallel with the pressure measurements. Consequently, two repeat 
	    measurements were available (one full polar for each measurement with an individual row of pressure taps opened). The 
	    data presented in this file were averaged over the two polars.
	 7) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
polar,run,config,AoA,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,CL,CD
[-],[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[-]
1,1,inboard-up,-20.00,39.86,1.2187,287.73,100655.7,0.00,Inf,-0.4770,0.2310
1,2,inboard-up,-19.50,39.87,1.2187,287.72,100656.3,0.00,Inf,-0.4884,0.2250
1,3,inboard-up,-19.00,39.87,1.2187,287.71,100655.4,0.00,Inf,-0.4893,0.2170
1,4,inboard-up,-18.50,39.88,1.2187,287.70,100654.7,0.00,Inf,-0.4934,0.2097
1,5,inboard-up,-18.00,39.88,1.2188,287.69,100654.0,0.00,Inf,-0.4891,0.2015
1,6,inboard-up,-17.50,39.89,1.2188,287.69,100651.8,0.00,Inf,-0.5131,0.1906
1,7,inboard-up,-17.00,39.90,1.2188,287.69,100649.9,0.00,Inf,-0.5872,0.1553
1,8,inboard-up,-16.50,39.93,1.2187,287.69,100649.0,0.00,Inf,-0.6085,0.1189
1,9,inboard-up,-16.00,39.94,1.2187,287.69,100647.0,0.00,Inf,-0.6042,0.1027
1,10,inboard-up,-15.50,39.95,1.2187,287.69,100647.8,0.00,Inf,-0.5936,0.0925
1,11,inboard-up,-15.00,39.95,1.2187,287.69,100646.0,0.00,Inf,-0.5873,0.0806
1,12,inboard-up,-14.50,39.96,1.2187,287.69,100646.6,0.00,Inf,-0.5745,0.0752
1,13,inboard-up,-14.00,39.96,1.2187,287.69,100646.9,0.00,Inf,-0.5587,0.0697
1,14,inboard-up,-13.00,39.96,1.2187,287.69,100644.8,0.00,Inf,-0.5201,0.0594
1,15,inboard-up,-12.00,39.97,1.2187,287.69,100644.5,0.00,Inf,-0.4732,0.0521
1,16,inboard-up,-11.00,39.98,1.2187,287.69,100644.6,0.00,Inf,-0.4241,0.0456
1,17,inboard-up,-10.00,39.97,1.2187,287.69,100645.2,0.00,Inf,-0.3740,0.0400
1,18,inboard-up,-8.00,39.99,1.2188,287.67,100645.2,0.00,Inf,-0.2707,0.0305
1,19,inboard-up,-6.00,39.99,1.2188,287.66,100644.0,0.00,Inf,-0.1609,0.0243
1,20,inboard-up,-4.00,39.99,1.2189,287.64,100643.6,0.00,Inf,-0.0508,0.0208
1,21,inboard-up,-2.00,40.00,1.2190,287.62,100643.7,0.00,Inf,0.0598,0.0205
