----------------------------------------------------------------------------------------------------------------------------------
Balance measurements (lift/drag) of Model I, outboard-up configuration (dF = -10 deg), AoA sweep, J sweep, Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: System lift and drag coefficient (including propeller forces), including wind-tunnel conditions.
Measured: December 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model I are attached as Supplemental Data S2.
	 3) As explained in the paper, the inboard-up configuration corresponds to the case with flap setting of +10 deg, the 
	    outboard-up configuration to the case with flap setting of -10 deg. The results for the outboard-up configuration
	    were obtained by flipping the measurement data following Eq. 1 of the paper: AoA_shown = -AoA_meas, 
	    CL_shown = -CL_meas, CD_shown(CL_shown) = CD(-CL_shown).
	 4) Angle-of-attack sweeps were performed at each propeller operating condition considered: prop-off, 
	    J = [1.0,0.9,0.8,0.7]. To avoid hysteresis effects, the sweeps were started at 0 deg, then the AoA was increased up to 
	    +20 deg, then returned to 0 deg, decreased up to -20 deg, and then returned to 0 deg. The repeat measurements at 0 deg 
	    were averaged, and the data are presented in this file in sorted order (negative to positive angle of attack).
	 5) The wind-tunnel fan RPM was adjusted at nonzero angle of attack to correct for the associated drop in freestream 
	    velocity. The correction procedure used for this purpose was not always accurate at the highest angles considered, 
	    leading to slight offsets from the desired value of 40.00 m/s. The impact on the data was verified to be negligible.
	 6) The balance measurements were performed in parallel with the pressure measurements. Consequently, two repeat 
	    measurements were available (one full polar for each measurement with an individual row of pressure taps opened). The 
	    data presented in this file were averaged over the two polars.
	 7) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
polar,run,config,AoA,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,CL,CD
[-],[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[-]
1,1,outboard-up,-20.00,39.87,1.2191,287.63,100652.4,0.00,Inf,-0.5033,0.2346
1,2,outboard-up,-19.50,39.87,1.2191,287.63,100651.4,0.00,Inf,-0.5146,0.2276
1,3,outboard-up,-19.00,39.87,1.2191,287.62,100650.9,0.00,Inf,-0.5292,0.2205
1,4,outboard-up,-18.50,39.89,1.2191,287.60,100651.2,0.00,Inf,-0.5159,0.2107
1,5,outboard-up,-18.00,39.90,1.2192,287.60,100650.2,0.00,Inf,-0.5315,0.1996
1,6,outboard-up,-17.50,39.91,1.2191,287.60,100649.3,0.00,Inf,-0.5573,0.1841
1,7,outboard-up,-17.00,39.94,1.2191,287.60,100646.4,0.00,Inf,-0.6247,0.1292
1,8,outboard-up,-16.50,39.94,1.2192,287.58,100646.0,0.00,Inf,-0.6319,0.0982
1,9,outboard-up,-16.00,39.96,1.2192,287.58,100645.2,0.00,Inf,-0.6231,0.0858
1,10,outboard-up,-15.50,39.96,1.2192,287.58,100645.6,0.00,Inf,-0.6128,0.0810
1,11,outboard-up,-15.00,39.97,1.2192,287.58,100645.4,0.00,Inf,-0.5996,0.0766
1,12,outboard-up,-14.50,39.97,1.2192,287.58,100645.2,0.00,Inf,-0.5827,0.0723
1,13,outboard-up,-14.00,39.97,1.2192,287.57,100644.5,0.00,Inf,-0.5637,0.0681
1,14,outboard-up,-13.00,39.97,1.2192,287.56,100644.6,0.00,Inf,-0.5207,0.0604
1,15,outboard-up,-12.00,39.98,1.2192,287.57,100644.5,0.00,Inf,-0.4733,0.0533
1,16,outboard-up,-11.00,39.98,1.2193,287.56,100646.1,0.00,Inf,-0.4240,0.0469
1,17,outboard-up,-10.00,39.98,1.2193,287.55,100645.6,0.00,Inf,-0.3731,0.0410
1,18,outboard-up,-8.00,40.00,1.2193,287.56,100646.3,0.00,Inf,-0.2695,0.0313
1,19,outboard-up,-6.00,40.00,1.2193,287.55,100646.1,0.00,Inf,-0.1611,0.0246
1,20,outboard-up,-4.00,39.99,1.2194,287.53,100646.0,0.00,Inf,-0.0520,0.0202
1,21,outboard-up,-2.00,40.00,1.2194,287.53,100646.0,0.00,Inf,0.0568,0.0196
