----------------------------------------------------------------------------------------------------------------------------------
Total-pressure measurements taken between wing and propeller with Model I, effect of advance ratio for inboard-up configuration 
(dF = +10 deg), AoA = -0.2 deg, Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Total-pressure coefficient CPt = (pT-pInf)/qInf at 0.15R downstream of propeller, including wind-tunnel conditions.
Measured: September 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model I are attached as Supplemental Data S2.
	 3) The data are provided as a function of circumferential angle (phi), at constant radial position (r/R).
	 4) The data were measured with a single total-pressure probe which was traversed through the measurement plane; the
	    final data were obainted by interpolation. Two scan planes were used: one for the negative Y range and one for the
	    positive Y range, with some overlap between the two planes. In these overlap regions, the results have been averaged
	    in the interpolation procedure.
	 5) During the measurements, slight drifts occurred in the propeller rotational speed (max offset approx. 1 Hz). This was
	    corrected for by using calibration measurements in which the RPS was varied slightly around the desired set point, 
	    resulting in linear calibration curves of total pressure vs RPS-delta from the set point. The data provided in this 
	    file are the corrected data (therefore, the RPS is exactly equal to the desired set point at each data point).
	 6) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
case,config,AoA,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,r/R,phi,CpT
[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[deg],[-]
1,inboard-up,-0.20,40.02,1.2017,295.75,102018.5,169.50,0.9963,0.7595,0,1.9720
1,inboard-up,-0.20,40.02,1.2016,295.79,102019.5,169.50,0.9963,0.7595,10,1.9721
1,inboard-up,-0.20,40.02,1.2015,295.80,102018.5,169.50,0.9963,0.7595,20,1.9723
1,inboard-up,-0.20,40.02,1.2015,295.81,102019.5,169.50,0.9963,0.7595,30,1.9718
1,inboard-up,-0.20,40.02,1.2015,295.81,102020.5,169.50,0.9962,0.7595,40,1.9720
1,inboard-up,-0.20,40.02,1.2014,295.82,102020.4,169.50,0.9961,0.7595,50,1.9740
1,inboard-up,-0.20,40.02,1.2014,295.83,102021.6,169.50,0.9962,0.7595,60,1.9749
1,inboard-up,-0.20,40.02,1.2014,295.83,102022.6,169.50,0.9961,0.7595,70,1.9765
1,inboard-up,-0.20,40.02,1.2013,295.85,102022.5,169.50,0.9962,0.7595,80,1.9777
1,inboard-up,-0.20,40.00,1.1986,296.12,101882.2,169.50,0.9957,0.7595,90,1.9846
1,inboard-up,-0.20,39.98,1.1958,296.39,101739.6,169.50,0.9952,0.7595,100,1.9889
1,inboard-up,-0.20,39.98,1.1959,296.37,101740.5,169.50,0.9954,0.7595,110,1.9936
1,inboard-up,-0.20,39.97,1.1959,296.37,101739.7,169.50,0.9951,0.7595,120,1.9969
1,inboard-up,-0.20,39.99,1.1960,296.35,101743.2,169.50,0.9955,0.7595,130,1.9965
1,inboard-up,-0.20,39.98,1.1961,296.33,101741.8,169.50,0.9953,0.7595,140,1.9989
1,inboard-up,-0.20,39.99,1.1961,296.33,101738.4,169.50,0.9954,0.7595,150,2.0021
1,inboard-up,-0.20,39.99,1.1961,296.33,101738.5,169.50,0.9954,0.7595,160,2.0039
1,inboard-up,-0.20,39.99,1.1961,296.33,101739.3,169.50,0.9956,0.7595,170,2.0066
1,inboard-up,-0.20,39.99,1.1963,296.27,101740.5,169.50,0.9954,0.7595,180,2.0097
1,inboard-up,-0.20,40.00,1.1967,296.19,101744.4,169.50,0.9958,0.7595,190,2.0116
1,inboard-up,-0.20,40.00,1.1967,296.19,101743.4,169.50,0.9957,0.7595,200,2.0144
1,inboard-up,-0.20,39.99,1.1969,296.13,101744.7,169.50,0.9955,0.7595,210,2.0178
1,inboard-up,-0.20,39.99,1.1971,296.09,101744.6,169.50,0.9955,0.7595,220,2.0202
1,inboard-up,-0.20,39.99,1.1972,296.07,101743.3,169.50,0.9956,0.7595,230,2.0223
1,inboard-up,-0.20,39.99,1.1973,296.05,101745.2,169.50,0.9955,0.7595,240,2.0231
1,inboard-up,-0.20,39.99,1.1974,296.02,101745.7,169.50,0.9955,0.7595,250,2.0219
1,inboard-up,-0.20,39.99,1.1975,296.01,101747.6,169.50,0.9956,0.7595,260,2.0183
1,inboard-up,-0.20,40.01,1.1999,295.81,101882.8,169.50,0.9959,0.7595,270,2.0130
1,inboard-up,-0.20,40.01,1.2023,295.61,102020.5,169.50,0.9959,0.7595,280,2.0056
1,inboard-up,-0.20,40.01,1.2022,295.63,102020.5,169.50,0.9961,0.7595,290,1.9978
1,inboard-up,-0.20,40.01,1.2022,295.63,102020.4,169.50,0.9960,0.7595,300,1.9898
1,inboard-up,-0.20,40.01,1.2022,295.63,102021.3,169.50,0.9960,0.7595,310,1.9829
1,inboard-up,-0.20,40.02,1.2021,295.67,102021.3,169.50,0.9962,0.7595,320,1.9793
1,inboard-up,-0.20,40.02,1.2020,295.68,102021.3,169.50,0.9962,0.7595,330,1.9761
1,inboard-up,-0.20,40.02,1.2020,295.69,102021.5,169.50,0.9962,0.7595,340,1.9732
1,inboard-up,-0.20,40.02,1.2019,295.71,102020.6,169.50,0.9962,0.7595,350,1.9725
2,inboard-up,-0.20,40.01,1.2001,296.09,101997.8,188.30,0.8964,0.7595,0,1.9720
2,inboard-up,-0.20,40.00,1.2000,296.11,101998.0,188.30,0.8964,0.7595,10,1.9721
2,inboard-up,-0.20,40.01,1.2000,296.11,101996.8,188.30,0.8964,0.7595,20,1.9723
2,inboard-up,-0.20,40.00,1.2000,296.11,101997.0,188.30,0.8964,0.7595,30,1.9718
2,inboard-up,-0.20,40.00,1.2000,296.11,101996.1,188.30,0.8964,0.7595,40,1.9720
2,inboard-up,-0.20,40.00,1.2000,296.11,101995.0,188.30,0.8964,0.7595,50,1.9740
2,inboard-up,-0.20,40.00,1.1999,296.12,101994.9,188.30,0.8964,0.7595,60,1.9749
2,inboard-up,-0.20,40.00,1.2000,296.11,101994.9,188.30,0.8964,0.7595,70,1.9765
2,inboard-up,-0.20,40.00,1.1999,296.13,101993.9,188.30,0.8964,0.7595,80,1.9777
2,inboard-up,-0.20,39.99,1.1971,296.42,101857.0,188.30,0.8962,0.7595,90,1.9846
2,inboard-up,-0.20,39.99,1.1942,296.73,101719.3,188.30,0.8960,0.7595,100,1.9889
2,inboard-up,-0.20,39.98,1.1942,296.73,101720.1,188.30,0.8960,0.7595,110,1.9936
2,inboard-up,-0.20,39.99,1.1943,296.73,101722.8,188.30,0.8961,0.7595,120,1.9969
2,inboard-up,-0.20,39.98,1.1942,296.73,101718.6,188.30,0.8959,0.7595,130,1.9965
2,inboard-up,-0.20,39.99,1.1942,296.73,101720.9,188.30,0.8961,0.7595,140,1.9989
2,inboard-up,-0.20,39.99,1.1942,296.73,101719.1,188.30,0.8962,0.7595,150,2.0021
2,inboard-up,-0.20,39.99,1.1942,296.72,101716.7,188.30,0.8961,0.7595,160,2.0039
2,inboard-up,-0.20,39.99,1.1943,296.72,101719.2,188.30,0.8960,0.7595,170,2.0066
2,inboard-up,-0.20,39.99,1.1943,296.71,101719.1,188.30,0.8961,0.7595,180,2.0097
2,inboard-up,-0.20,40.00,1.1943,296.69,101714.6,188.30,0.8962,0.7595,190,2.0116
2,inboard-up,-0.20,39.99,1.1943,296.69,101715.1,188.30,0.8960,0.7595,200,2.0144
2,inboard-up,-0.20,39.99,1.1944,296.67,101715.2,188.30,0.8961,0.7595,210,2.0178
