----------------------------------------------------------------------------------------------------------------------------------
Total-pressure measurements in wake of Model II, conventional configuration, CL = 0.5 (AoA = 2.8 deg), prop-off, Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Total-pressure coefficient CPt = (pT-pInf)/qInf at 1.5c downstream of wing trailing edge, including wind-tunnel 
	       conditions.
Measured: December 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model II are attached as Supplemental Data S3.
	 3) The data are provided for a rectangular grid of Y and Z coordinates. Unavailable datapoints are listed as NaN 
	 4) The data were measured with a wake rake which was traversed through the measurement plane; the final data were
	    obtained by interpolation. The wake rake was traversed in the lateral direction at various z-locations, with
	    some overlap between the different vertical scan planes. In these overlap regions, the results have been 
	    averaged in the interpolation procedure.
	 5) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
Y/s,Z/s,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,CpT
[-],[-],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-]
0.0000,-0.0963,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0922,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0882,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0842,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0802,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0762,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0722,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0682,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0642,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0602,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0521,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0481,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0441,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0361,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0321,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0281,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0241,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0201,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0080,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
