----------------------------------------------------------------------------------------------------------------------------------
Total-pressure measurements in wake of Model II, tip-mounted configuration, CL = 0.5 (AoA = 2.9 deg), prop-off, Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Total-pressure coefficient CPt = (pT-pInf)/qInf at 1.5c downstream of wing trailing edge, including wind-tunnel 
	       conditions.
Measured: December 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model II are attached as Supplemental Data S3.
	 3) The data are provided for a rectangular grid of Y and Z coordinates. Unavailable datapoints are listed as NaN 
	 4) The data were measured with a wake rake which was traversed through the measurement plane; the final data were
	    obtained by interpolation. The wake rake was traversed in the lateral direction at various z-locations, with
	    some overlap between the different vertical scan planes. In these overlap regions, the results have been 
	    averaged in the interpolation procedure.
	 5) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
Y/s,Z/s,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,CpT
[-],[-],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-]
0.0000,-0.0986,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0945,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0904,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0863,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0822,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0781,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0740,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0699,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0658,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0534,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0452,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0411,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0370,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0329,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0288,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0247,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0205,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0082,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,-0.0041,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0041,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0082,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0164,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0205,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0247,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0288,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0329,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0370,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0411,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0452,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0534,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0616,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0658,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0699,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0740,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0781,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0822,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0863,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0904,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0945,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0000,0.0986,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0041,-0.0986,NaN,NaN,NaN,NaN,NaN,NaN,NaN
