polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,0.0,0.0,14.98,293.6,101797.2,1.208,343.51,26.95,0.1093,1.3672,-0.0461,-0.0246,0.0404,0.0158,-1.5586
1,2,0.0,0.0,14.97,293.2,101796.0,1.209,343.29,28.15,0.1134,1.3081,-0.0139,-0.0081,0.0752,0.0336,-0.2418
1,3,0.0,0.0,15.01,293.5,101793.6,1.208,343.44,30.60,0.1218,1.2069,0.0423,0.0290,0.1274,0.0725,0.4005
1,4,0.0,0.0,15.01,293.5,101792.0,1.208,343.44,33.83,0.1331,1.0918,0.1058,0.0888,0.1889,0.1451,0.6116
1,5,0.0,0.0,15.01,293.7,101789.9,1.207,343.55,37.08,0.1446,0.9960,0.1586,0.1599,0.2366,0.2395,0.6678
1,6,0.0,0.0,15.02,293.6,101787.3,1.208,343.48,41.25,0.1595,0.8960,0.2116,0.2636,0.2821,0.3921,0.6722
1,7,0.0,0.0,15.03,293.2,101787.0,1.209,343.29,45.86,0.1761,0.8063,0.2476,0.3808,0.3048,0.5813,0.6550
1,8,0.0,0.0,15.03,293.2,101786.0,1.209,343.26,52.20,0.1990,0.7086,0.2743,0.5463,0.3148,0.8849,0.6175
1,9,0.0,0.0,15.00,293.1,101787.0,1.210,343.23,61.50,0.2329,0.5999,0.3007,0.8356,0.3232,1.4966,0.5583
1,10,0.0,0.0,15.00,293.4,101786.9,1.208,343.40,66.85,0.2524,0.5521,0.3128,1.0260,0.3262,1.9381,0.5294
1,11,0.0,0.0,15.01,293.4,101786.0,1.208,343.40,73.80,0.2778,0.5005,0.3251,1.2979,0.3291,2.6257,0.4943
1,12,0.0,0.0,15.02,293.5,101785.1,1.208,343.41,81.85,0.3074,0.4517,0.3353,1.6432,0.3317,3.5994,0.4565
1,13,0.0,0.0,15.04,293.2,101782.7,1.209,343.29,92.50,0.3468,0.4001,0.3442,2.1510,0.3367,5.2596,0.4090
1,14,0.0,0.0,15.04,293.1,101781.7,1.210,343.21,92.49,0.3469,0.4001,0.3443,2.1507,0.3369,5.2594,0.4089
1,15,0.0,0.0,14.97,293.1,101780.4,1.210,343.23,81.87,0.3076,0.4501,0.3352,1.6549,0.3320,3.6416,0.4545
