polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,-2.0,0.0,28.96,298.9,101664.6,1.185,346.61,50.68,0.2045,1.4062,0.3310,0.1674,0.6481,0.2331,0.7181
1,2,0.0,0.0,28.96,299.1,101665.3,1.184,346.70,50.73,0.2046,1.4046,0.3311,0.1678,0.6482,0.2339,0.7176
1,3,2.0,0.0,28.99,299.2,101669.1,1.184,346.75,50.75,0.2047,1.4053,0.3321,0.1682,0.6485,0.2337,0.7197
1,4,4.0,0.0,28.93,299.3,101664.7,1.183,346.84,50.77,0.2046,1.4022,0.3352,0.1705,0.6501,0.2358,0.7230
1,5,6.0,0.0,28.88,299.6,101665.9,1.182,346.98,50.77,0.2045,1.3997,0.3378,0.1724,0.6509,0.2374,0.7264
1,6,8.0,0.0,29.00,300.0,101665.6,1.180,347.24,50.85,0.2048,1.4033,0.3411,0.1732,0.6517,0.2359,0.7344
1,7,10.0,0.0,29.03,300.2,101666.0,1.180,347.34,50.91,0.2049,1.4030,0.3425,0.1740,0.6512,0.2358,0.7379
1,8,12.0,0.0,28.99,300.3,101665.6,1.180,347.37,50.95,0.2050,1.4000,0.3400,0.1735,0.6516,0.2375,0.7304
1,9,14.0,0.0,28.98,300.3,101665.0,1.179,347.39,50.93,0.2049,1.4003,0.3366,0.1717,0.6529,0.2378,0.7220
1,10,16.0,0.0,28.99,300.3,101666.6,1.179,347.40,50.80,0.2045,1.4040,0.3342,0.1695,0.6570,0.2374,0.7142
1,11,18.0,0.0,28.95,300.3,101666.0,1.179,347.42,50.66,0.2040,1.4062,0.3328,0.1683,0.6618,0.2380,0.7072
1,12,20.0,0.0,28.97,300.4,101664.1,1.179,347.46,51.17,0.2057,1.3933,0.3342,0.1722,0.6688,0.2473,0.6963
1,13,22.0,0.0,28.94,300.4,101667.2,1.179,347.48,51.00,0.2051,1.3960,0.3347,0.1718,0.6738,0.2476,0.6936
1,14,24.0,0.0,28.92,300.5,101665.4,1.179,347.49,50.82,0.2044,1.4001,0.3363,0.1716,0.6796,0.2476,0.6930
1,15,24.0,0.0,28.94,300.5,101667.8,1.179,347.50,50.80,0.2044,1.4018,0.3362,0.1711,0.6795,0.2467,0.6935
1,16,22.0,0.0,28.95,300.5,101665.9,1.179,347.52,51.05,0.2052,1.3954,0.3342,0.1716,0.6739,0.2480,0.6920
1,17,20.0,0.0,28.99,300.5,101665.5,1.178,347.54,50.58,0.2037,1.4104,0.3315,0.1666,0.6664,0.2375,0.7016
1,18,18.0,0.0,28.99,300.6,101664.0,1.178,347.56,50.74,0.2042,1.4060,0.3322,0.1680,0.6624,0.2383,0.7051
1,19,16.0,0.0,28.94,300.6,101666.6,1.178,347.57,50.92,0.2047,1.3986,0.3338,0.1707,0.6583,0.2406,0.7093
1,20,14.0,0.0,29.02,300.6,101666.9,1.178,347.58,51.06,0.2053,1.3987,0.3359,0.1717,0.6539,0.2390,0.7186
1,21,12.0,0.0,28.99,300.6,101669.3,1.178,347.59,51.14,0.2055,1.3950,0.3394,0.1744,0.6527,0.2404,0.7254
1,22,10.0,0.0,29.00,300.7,101671.6,1.178,347.60,51.11,0.2054,1.3961,0.3426,0.1758,0.6533,0.2401,0.7322
1,23,8.0,0.0,29.02,300.7,101669.6,1.178,347.61,51.11,0.2054,1.3970,0.3418,0.1752,0.6534,0.2397,0.7309
1,24,6.0,0.0,29.03,300.7,101669.4,1.178,347.62,51.17,0.2057,1.3959,0.3395,0.1742,0.6526,0.2399,0.7262
1,25,4.0,0.0,29.01,300.7,101671.1,1.178,347.64,51.17,0.2056,1.3951,0.3378,0.1736,0.6522,0.2402,0.7227
